suburb_name,NH_geometry,f0_
Geilston Bay,"LINESTRING(147.352770604965 -42.8327457223519, 147.35277060497 -42.8348985798591, 147.352770604975 -42.8370514373663)",POINT(147.35277060497 -42.8348985798591)
Sidmouth,"POLYGON((146.897555835012 -41.2158809734105, 146.897555835033 -41.2095019385286, 146.873363495012 -41.2222600084933, 146.889491720017 -41.2222600084841, 146.897555835012 -41.2158809734105))",POINT(146.888417245363 -41.2175824344083)
Primrose Sands,POINT(147.672989834992 -42.8918173524278),POINT(147.672989834992 -42.8918173524278)
Exeter (Tas.),"LINESTRING(146.944888354966 -41.2976344722202, 146.947858159992 -41.2976345103801, 146.950827965019 -41.2976344722151)",POINT(146.947858159992 -41.2976345103801)
Verona Sands,"LINESTRING(147.160644690101 -43.2770843150603, 147.160644690164 -43.2768816280911, 147.160644690226 -43.2766789411218)",POINT(147.160644690164 -43.2768816280911)
Otago,POINT(147.288573730027 -42.8011123056028),POINT(147.288573730027 -42.8011123056028)
Roger River,POINT(145.009256780021 -41.0481256765483),POINT(145.009256780021 -41.0481256765483)
Whitemark,"POLYGON((148.019518414992 -40.1169968659426, 148.048111455039 -40.0890046160471, 148.048111455029 -40.0796738660443, 148.009987404993 -40.0983353660349, 148.019518414992 -40.1169968659426))",POINT(148.028806985429 -40.0976190019638)
Rocky Cape,POINT(145.485124565026 -40.9163457742713),POINT(145.485124565026 -40.9163457742713)
Geeveston,POINT(146.926546314978 -43.1625329639039),POINT(146.926546314978 -43.1625329639039)
West Pine,POINT(145.996625625013 -41.1652114315345),POINT(145.996625625013 -41.1652114315344)
Interlaken,POINT(147.141484344978 -42.1569330717576),POINT(147.141484344978 -42.1569330717576)
Christmas Hills (Tas.),"POLYGON((145.041192749902 -40.8864728630954, 145.041192749913 -40.8859302280605, 145.03836705008 -40.8859302283148, 145.038367050044 -40.886472862981, 145.038367050035 -40.8870154982607, 145.041192749902 -40.8864728630954))",POINT(145.039622918757 -40.8863522851341)
Longford (Tas.),"POLYGON((147.124236119981 -41.6065551358854, 147.115788479992 -41.5856138862909, 147.115788479989 -41.6065551358841, 147.124236119981 -41.6065551358854))",POINT(147.118604055386 -41.5995747880727)
St Marys (Tas.),"POLYGON((148.193123114984 -41.5761645073706, 148.181581840006 -41.5761645073719, 148.181581840013 -41.5836286373553, 148.193123114984 -41.5761645073706))",POINT(148.18542907988 -41.5786526788999)
Glen Huon,"LINESTRING(146.95875690001 -43.0305917913655, 146.95875690001 -43.0259729413509, 146.958756900015 -43.021354091277)",POINT(146.958756900011 -43.0259729413212)
Sloping Main,"POLYGON((147.677928555011 -43.0018323769265, 147.677928554938 -43.0015806810117, 147.676634065031 -43.0013289853945, 147.675339569932 -43.001077293667, 147.674045075009 -43.0008255963133, 147.672750584834 -43.0005739062779, 147.671456094906 -43.0003222113872, 147.670161600139 -43.0000705181776, 147.668867104845 -43.0000705186348, 147.668867104644 -43.0003222112953, 147.668867104631 -43.0005739054695, 147.670161600382 -43.0008255962584, 147.676634064954 -43.0018323763519, 147.677928555011 -43.0018323769265))",POINT(147.672999011728 -43.0009476717129)
Waterhouse,"POLYGON((147.728671708969 -40.9126917291048, 147.728671711146 -40.9126792727159, 147.72867171101 -40.9126542389203, 147.728671706385 -40.9126292408386, 147.728671704073 -40.9126167565309, 147.728657416604 -40.9126042559759, 147.728643063573 -40.9126042544635, 147.728614378227 -40.9126042514441, 147.728571373419 -40.9126042498695, 147.728571369027 -40.9126292425334, 147.728571371418 -40.9126667356591, 147.728585705187 -40.9126792700318, 147.728600038192 -40.9126917274342, 147.728643066254 -40.9126917383348, 147.728657417804 -40.9126917398472, 147.728671708969 -40.9126917291048))",POINT(147.72862279085 -40.912646898099)
Great Bay,POINT(147.35408750007 -43.2267503211992),POINT(147.35408750007 -43.2267503211992)
